Schedule,Block 1 Rotation,Block 1 Site,Block 2 Rotation,Block 2 Site,Block 3 Rotation,Block 3 Site,Block 4 Rotation,Block 4 Site,Block 5 Rotation,Block 5 Site,Block 6 Rotation,Block 6 Site,Block 7 Rotation,Block 7 Site,Block 8 Rotation,Block 8 Site,Block 9 Rotation,Block 9 Site,Max Pairwise Distance (min),Dominant City
123,Elective,Generic Elective,Obstetrics/Gynecology,University Hospitals Ahuja Medical Center,Family Medicine,University Hospitals Lake Health West Medical Center,Pediatrics,Senders Pediatrics,Internal Medicine,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Surgery,University Hospitals Cleveland Medical Center,Emergency Medicine,University Hospitals Ahuja Medical Center,Psychiatry,Bluestone Child and Adolescent Psychiatric Hospital,29.3,Eastern Cleveland
124,Pediatrics,University Hospitals Cleveland Medical Center,Family Medicine,University Hospitals St. John Medical Center,Obstetrics/Gynecology,University Hospitals Ahuja Medical Center,Psychiatry,Louis Stokes Cleveland VA,Surgery,MetroHealth Medical Center,Emergency Medicine,MetroHealth Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Elective,Generic Elective,34.1,Western Cleveland
125,Obstetrics/Gynecology,University Hospitals St. John Medical Center,Elective,Generic Elective,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Pediatrics,University Hospitals Cleveland Medical Center,Family Medicine,University Hospitals St. John Medical Center,Psychiatry,University Hospitals Cleveland Medical Center,Emergency Medicine,MetroHealth Medical Center,Surgery,Cleveland Clinic Fairview Hospital,34.1,Western Cleveland
126,Family Medicine,University Hospitals St. John Medical Center,Pediatrics,University Hospitals Cleveland Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Psychiatry,Mercy Health Lorain Hospital,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,MetroHealth Medical Center,Elective,Generic Elective,Obstetrics/Gynecology,University Hospitals St. John Medical Center,38.7,Western Cleveland
127,Obstetrics/Gynecology,University Hospitals Ahuja Medical Center,Pediatrics,"Akron Children's Hospital, Akron Campus",Internal Medicine,University Hospitals Parma Medical Center,Internal Medicine,University Hospitals Parma Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,MetroHealth Medical Center,Psychiatry,MetroHealth Medical Center,Family Medicine,MetroHealth Medical Center,Elective,Generic Elective,49.1,Western Cleveland
128,Elective,Generic Elective,Pediatrics,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Psychiatry,MetroHealth Medical Center,Obstetrics/Gynecology,University Hospitals Ahuja Medical Center,Emergency Medicine,MetroHealth Medical Center,Surgery,MetroHealth Medical Center,Family Medicine,MetroHealth Medical Center,18.9,Western Cleveland
129,Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Psychiatry,University Hospitals Cleveland Medical Center,Pediatrics,University Hospitals Cleveland Medical Center,Family Medicine,MetroHealth Medical Center,Emergency Medicine,MetroHealth Medical Center,Surgery,MetroHealth Medical Center,Obstetrics/Gynecology,University Hospitals St. John Medical Center,Elective,Generic Elective,34.1,Western Cleveland
130,Pediatrics,University Hospitals Cleveland Medical Center,Obstetrics/Gynecology,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Family Medicine,University Hospitals St. John Medical Center,Emergency Medicine,University Hospitals St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Psychiatry,Mercy Health Lorain Hospital,Elective,Generic Elective,37.4,Western Cleveland
131,Elective,Generic Elective,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,University Hospitals Ahuja Medical Center,Pediatrics,University Hospitals Cleveland Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Obstetrics/Gynecology,University Hospitals St. John Medical Center,Family Medicine,University Hospitals St. John Medical Center,Psychiatry,Mercy Health Lorain Hospital,51.2,Western Cleveland
132,Obstetrics/Gynecology,University Hospitals St. John Medical Center,Elective,Generic Elective,Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Psychiatry,Mercy Health Lorain Hospital,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,University Hospitals St. John Medical Center,Family Medicine,University Hospitals St. John Medical Center,Pediatrics,University Hospitals Cleveland Medical Center,37.4,Western Cleveland
133,Pediatrics,"Akron Children's Hospital, Akron Campus",Psychiatry,University Hospitals Cleveland Medical Center,Emergency Medicine,MetroHealth Medical Center,Surgery,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Elective,Generic Elective,Obstetrics/Gynecology,University Hospitals Ahuja Medical Center,Family Medicine,MetroHealth Medical Center,40.9,Eastern Cleveland
134,Psychiatry,Mercy Health Lorain Hospital,Family Medicine,University Hospitals St. John Medical Center,Pediatrics,Senders Pediatrics,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,University Hospitals St. John Medical Center,Obstetrics/Gynecology,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Elective,Generic Elective,59.5,Western Cleveland
135,Surgery,University Hospitals Cleveland Medical Center,Emergency Medicine,MetroHealth Medical Center,Psychiatry,Louis Stokes Cleveland VA,Family Medicine,Mercy Health St. Elizabeth Boardman Hospital,Internal Medicine,University Hospitals Parma Medical Center,Internal Medicine,University Hospitals Parma Medical Center,Elective,Generic Elective,Pediatrics,University Hospitals Cleveland Medical Center,Obstetrics/Gynecology,Aultman Hospital,84.6,Eastern Cleveland
136,Family Medicine,University Hospitals St. John Medical Center,Pediatrics,"Akron Children's Hospital, Akron Campus",Obstetrics/Gynecology,University Hospitals St. John Medical Center,Elective,Generic Elective,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Psychiatry,University Hospitals Cleveland Medical Center,51.2,Western Cleveland
137,Pediatrics,"Akron Children's Hospital, Akron Campus",Psychiatry,University Hospitals Cleveland Medical Center,Elective,Generic Elective,Surgery,"Cleveland Clinic Akron General, Akron Campus",Emergency Medicine,"Cleveland Clinic Akron General, Akron Campus",Obstetrics/Gynecology,"Cleveland Clinic Akron General, Akron Campus",Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Family Medicine,"Cleveland Clinic Akron General, Akron Campus",51.6,Akron
138,Emergency Medicine,University Hospitals Ahuja Medical Center,Surgery,University Hospitals Cleveland Medical Center,Family Medicine,MetroHealth Medical Center,Pediatrics,MetroHealth Medical Center,Obstetrics/Gynecology,University Hospitals Ahuja Medical Center,Elective,Generic Elective,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Psychiatry,MetroHealth Medical Center,30.7,Western Cleveland
139,Psychiatry,MetroHealth Medical Center,Obstetrics/Gynecology,University Hospitals St. John Medical Center,Pediatrics,University Hospitals Cleveland Medical Center,Elective,Generic Elective,Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Family Medicine,University Hospitals St. John Medical Center,Emergency Medicine,University Hospitals St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,34.1,Western Cleveland
140,Pediatrics,"Akron Children's Hospital, Akron Campus",Psychiatry,MetroHealth Medical Center,Elective,Generic Elective,Family Medicine,MetroHealth Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Obstetrics/Gynecology,University Hospitals Ahuja Medical Center,Emergency Medicine,MetroHealth Medical Center,Surgery,MetroHealth Medical Center,51.2,Western Cleveland
141,Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Obstetrics/Gynecology,University Hospitals St. John Medical Center,Family Medicine,University Hospitals St. John Medical Center,Pediatrics,University Hospitals Cleveland Medical Center,Elective,Generic Elective,Psychiatry,Mercy Health Lorain Hospital,Emergency Medicine,MetroHealth Medical Center,Surgery,Cleveland Clinic Fairview Hospital,38.7,Western Cleveland
142,Emergency Medicine,MetroHealth Medical Center,Surgery,University Hospitals Cleveland Medical Center,Elective,Generic Elective,Psychiatry,MetroHealth Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Pediatrics,University Hospitals Cleveland Medical Center,Obstetrics/Gynecology,Aultman Hospital,Family Medicine,MetroHealth Medical Center,71.5,Western Cleveland
143,Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Family Medicine,University Hospitals St. John Medical Center,Elective,Generic Elective,Pediatrics,University Hospitals Cleveland Medical Center,Psychiatry,Mercy Health Lorain Hospital,Obstetrics/Gynecology,University Hospitals St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,University Hospitals St. John Medical Center,37.4,Western Cleveland
144,Elective,Generic Elective,Psychiatry,Louis Stokes Cleveland VA,Family Medicine,University Hospitals Lake Health West Medical Center,Obstetrics/Gynecology,University Hospitals TriPoint Medical Center,Internal Medicine,University Hospitals Geauga Medical Center,Internal Medicine,University Hospitals Geauga Medical Center,Pediatrics,University Hospitals Cleveland Medical Center,Surgery,University Hospitals Lake Health West Medical Center,Emergency Medicine,University Hospitals Lake Health West Medical Center,53.3,Eastern Cleveland
145,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Family Medicine,University Hospitals St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,MetroHealth Medical Center,Psychiatry,University Hospitals Cleveland Medical Center,Elective,Generic Elective,Pediatrics,University Hospitals Cleveland Medical Center,Obstetrics/Gynecology,University Hospitals St. John Medical Center,34.1,Western Cleveland
146,Elective,Generic Elective,Pediatrics,MetroHealth Medical Center,Family Medicine,MetroHealth Medical Center,Obstetrics/Gynecology,University Hospitals Ahuja Medical Center,Emergency Medicine,MetroHealth Medical Center,Surgery,MetroHealth Medical Center,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Psychiatry,University Hospitals Cleveland Medical Center,30.7,Western Cleveland
147,Elective,Generic Elective,Obstetrics/Gynecology,OhioHealth Riverside Methodist Hospital,Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Family Medicine,University Hospitals St. John Medical Center,Pediatrics,University Hospitals Cleveland Medical Center,Emergency Medicine,University Hospitals St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Psychiatry,Mercy Health Lorain Hospital,130.1,Western Cleveland
148,Psychiatry,Mercy Health Lorain Hospital,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,University Hospitals Ahuja Medical Center,Pediatrics,"Akron Children's Hospital, Akron Campus",Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Family Medicine,University Hospitals St. John Medical Center,Obstetrics/Gynecology,University Hospitals St. John Medical Center,Elective,Generic Elective,63.7,Western Cleveland
149,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Pediatrics,University Hospitals Cleveland Medical Center,Obstetrics/Gynecology,University Hospitals St. John Medical Center,Emergency Medicine,University Hospitals St. John Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Family Medicine,MetroHealth Medical Center,Psychiatry,University Hospitals Cleveland Medical Center,Elective,Generic Elective,34.1,Western Cleveland
150,Emergency Medicine,MetroHealth Medical Center,Surgery,Cleveland Clinic Fairview Hospital,Pediatrics,MetroHealth Medical Center,Family Medicine,MetroHealth Medical Center,Obstetrics/Gynecology,University Hospitals Ahuja Medical Center,Psychiatry,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Internal Medicine,MetroHealth Medical Center,Elective,Generic Elective,30.7,Western Cleveland
151,Family Medicine,University Hospitals Lake Health West Medical Center,Elective,Generic Elective,Surgery,University Hospitals Cleveland Medical Center,Emergency Medicine,University Hospitals Ahuja Medical Center,Internal Medicine,University Hospitals Parma Medical Center,Internal Medicine,University Hospitals Parma Medical Center,Psychiatry,Bluestone Child and Adolescent Psychiatric Hospital,Pediatrics,Senders Pediatrics,Obstetrics/Gynecology,University Hospitals Ahuja Medical Center,39.0,Eastern Cleveland
152,Pediatrics,University Hospitals Cleveland Medical Center,Obstetrics/Gynecology,University Hospitals Ahuja Medical Center,Internal Medicine,University Hospitals Parma Medical Center,Internal Medicine,University Hospitals Parma Medical Center,Emergency Medicine,University Hospitals Lake Health West Medical Center,Surgery,Louis Stokes Cleveland VA,Family Medicine,University Hospitals Lake Health West Medical Center,Psychiatry,Louis Stokes Cleveland VA,Elective,Generic Elective,39.0,Eastern Cleveland
153,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Psychiatry,MetroHealth Medical Center,Pediatrics,"Akron Children's Hospital, Akron Campus",Obstetrics/Gynecology,Aultman Hospital,Surgery,University Hospitals Cleveland Medical Center,Emergency Medicine,MetroHealth Medical Center,Family Medicine,MetroHealth Medical Center,Elective,Generic Elective,69.5,Western Cleveland
154,Elective,Generic Elective,Psychiatry,Mercy Health Lorain Hospital,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,MetroHealth Medical Center,Obstetrics/Gynecology,University Hospitals St. John Medical Center,Pediatrics,"Akron Children's Hospital, Akron Campus",Internal Medicine,University Hospitals St. John Medical Center,Internal Medicine,University Hospitals St. John Medical Center,Family Medicine,University Hospitals St. John Medical Center,63.7,Western Cleveland
155,Emergency Medicine,University Hospitals Ahuja Medical Center,Surgery,MetroHealth Medical Center,Obstetrics/Gynecology,University Hospitals TriPoint Medical Center,Pediatrics,MetroHealth Medical Center,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Elective,Generic Elective,Psychiatry,MetroHealth Medical Center,Family Medicine,University Hospitals St. John Medical Center,50.2,Western Cleveland
156,Obstetrics/Gynecology,University Hospitals TriPoint Medical Center,Elective,Generic Elective,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Surgery,University Hospitals Cleveland Medical Center,Emergency Medicine,MetroHealth Medical Center,Family Medicine,"Summa Health Systems, Barberton Campus",Pediatrics,University Hospitals Cleveland Medical Center,Psychiatry,Louis Stokes Cleveland VA,61.5,Western Cleveland
157,Surgery,Cleveland Clinic Fairview Hospital,Emergency Medicine,University Hospitals Ahuja Medical Center,Psychiatry,University Hospitals Cleveland Medical Center,Obstetrics/Gynecology,University Hospitals St. John Medical Center,Internal Medicine,Cleveland Clinic Fairview Hospital,Internal Medicine,Cleveland Clinic Fairview Hospital,Elective,Generic Elective,Family Medicine,University Hospitals St. John Medical Center,Pediatrics,University Hospitals Cleveland Medical Center,34.1,Western Cleveland
158,Pediatrics,"Akron Children's Hospital, Akron Campus",Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,50.6,Youngstown
159,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Family Medicine,Mercy Health St. Elizabeth Boardman Hospital,19.6,Youngstown
160,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,16.7,Youngstown
161,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Akron Campus",Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,50.6,Youngstown
162,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Obstetrics/Gynecology,Aultman Hospital,68.6,Youngstown
163,Obstetrics/Gynecology,Aultman Hospital,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,68.6,Youngstown
164,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",Elective,Generic Elective,16.7,Youngstown
165,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Akron Campus",Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,50.6,Youngstown
166,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,University Hospitals Geauga Medical Center,Internal Medicine,University Hospitals Geauga Medical Center,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",68.0,Youngstown
167,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Family Medicine,Mercy Health St. Elizabeth Boardman Hospital,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,19.6,Youngstown
168,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Akron Campus",Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,50.6,Youngstown
169,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,16.7,Youngstown
170,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,16.7,Youngstown
171,Obstetrics/Gynecology,Aultman Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Akron Campus",Elective,Generic Elective,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,66.3,Youngstown
172,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,16.7,Youngstown
173,Elective,Generic Elective,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Obstetrics/Gynecology,OhioHealth Riverside Methodist Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,162.2,Youngstown
174,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,16.7,Youngstown
175,Psychiatry,Columbus VA Clinic,Pediatrics,"Akron Children's Hospital, Akron Campus",Obstetrics/Gynecology,OhioHealth Riverside Methodist Hospital,Elective,Generic Elective,Surgery,OhioHealth Riverside Methodist Hospital,Emergency Medicine,Columbus VA Clinic,Internal Medicine,OhioHealth Riverside Methodist Hospital,Internal Medicine,OhioHealth Riverside Methodist Hospital,Family Medicine,Mount Carmel Health System,115.5,Columbus
176,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Elective,Generic Elective,16.7,Youngstown
177,Family Medicine,Mercy Health St. Elizabeth Boardman Hospital,Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,University Hospitals Geauga Medical Center,Internal Medicine,University Hospitals Geauga Medical Center,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,68.0,Youngstown
178,Elective,Generic Elective,Psychiatry,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Internal Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Surgery,Mercy Health St. Elizabeth Youngstown Hospital,Emergency Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Family Medicine,Mercy Health St. Elizabeth Youngstown Hospital,Obstetrics/Gynecology,Mercy Health St. Elizabeth Youngstown Hospital,Pediatrics,"Akron Children's Hospital, Beeghley Campus (Mahoning)",16.7,Youngstown
179,Emergency Medicine,"Summa Health Systems, Akron Campus",Surgery,OhioHealth Riverside Methodist Hospital,Psychiatry,Columbus VA Clinic,Pediatrics,"Akron Children's Hospital, Akron Campus",Internal Medicine,OhioHealth Riverside Methodist Hospital,Internal Medicine,OhioHealth Riverside Methodist Hospital,Family Medicine,Mount Carmel Health System,Obstetrics/Gynecology,OhioHealth Riverside Methodist Hospital,Elective,Generic Elective,116.2,Columbus
180,Pediatrics,The Christ Hospital,Psychiatry,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Surgery,The Christ Hospital,Emergency Medicine,The Christ Hospital,Family Medicine,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,Elective,Generic Elective,0.0,Cincinnati
181,Pediatrics,The Christ Hospital,Psychiatry,The Christ Hospital,Family Medicine,The Christ Hospital,Elective,Generic Elective,Emergency Medicine,The Christ Hospital,Surgery,The Christ Hospital,Internal Medicine,The Christ Hospital,Internal Medicine,The Christ Hospital,Obstetrics/Gynecology,The Christ Hospital,0.0,Cincinnati
